


警告: 当用作索引时，冒号运算符需要整数操作数 
> In main_10_16 (line 20) 
第86次: N=0.092239, K1=0.004740, K2=0.002001, f(N)=5.419352
第87次: N=0.077880, K1=0.004740, K2=0.002001, f(N)=0.788345
第88次: N=0.063442, K1=0.004740, K2=0.002001, f(N)=46.420938
第89次: N=0.048926, K1=0.004740, K2=0.002001, f(N)=19.365463
第90次: N=0.034330, K1=0.004740, K2=0.002001, f(N)=18.741888
第91次: N=0.019657, K1=0.004740, K2=0.002001, f(N)=8.194842
第92次: N=0.004906, K1=0.004740, K2=0.002001, f(N)=10214.687136
第93次: N=0.374501, K1=0.004740, K2=0.002001, f(N)=36.717923
第94次: N=0.359596, K1=0.004740, K2=0.002001, f(N)=36.481440
第95次: N=0.344615, K1=0.004740, K2=0.002001, f(N)=37.171823
第96次: N=0.329559, K1=0.004740, K2=0.002001, f(N)=37.227843
第97次: N=0.314427, K1=0.004740, K2=0.002001, f(N)=35.141346
第98次: N=0.299221, K1=0.004740, K2=0.002001, f(N)=33.608151
第99次: N=0.283940, K1=0.004740, K2=0.002001, f(N)=34.658224
第100次: N=0.268585, K1=0.004740, K2=0.002001, f(N)=33.725431
>> 
